"name","deployment_id","mllw_navd88_offset_mm","mhhw_navd88_offset_mm"
"The Battery (8518750)","noaa-tidal-8518750",855,-704
"Kings Point (8516945)","noaa-tidal-8516945",1257,-1122
"Sandy Hook (8531680)","noaa-tidal-8531680",858,-735
"GREAT KILLS HARBOR AT GREAT KILLS NY (01376562)","usgs-tidal-01376562",847,-777
"ROCKAWAY INLET NEAR FLOYD BENNETT FIELD NY (01311875)","usgs-tidal-01311875",896,-808
"HUDSON BAY AT FREEPORT NY (01310521)","usgs-tidal-01310521",713,-658
"REYNOLDS CHANNEL AT POINT LOOKOUT NY (01310740)","usgs-tidal-01310740",732,-677
"HOG ISLAND CHANNEL AT ISLAND PARK NY (01311143)","usgs-tidal-01311143",805,-735
"JAMAICA BAY AT INWOOD NY (01311850)","usgs-tidal-01311850",954,-844
"EAST ROCKAWAY INLET AT ATLANTIC BEACH NY (01311145)","usgs-tidal-01311145",795,-725
